index	category	count	nyuId	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40index	mpcat40
312	pantry	1		38	7		otherstructure	Objects					n03885535	pantry.n.01	40	misc
313	stair rail	1		40	7		otherprop	Objects							40	misc
314	hygiene object	1		40	7		otherprop	Objects							40	misc
315	kids toy	1	389	40	7	toy	otherprop	Objects							40	misc
316	night lamp	1	144	35	7	lamp	lamp	Objects	lamp		lamp	03636649	n03636649	lamp.n.02	28	lighting
317	under desk	1	36	14	10	desk	desk	Table	desk	desk					40	misc
318	white plastic tub	1	136	36	7	bathtub	bathtub	Objects	bathtub	bathtub	tub	02808440	n02808440	bathtub.n.01	25	bathtub
319	dining room table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
320	electronics	1		40	7		otherprop	Objects							40	misc
321	umbrella	1	203	40	7	umbrella	otherprop	Objects					n04507155	umbrella.n.01	39	objects
322	utensil	1	267	40	7	utensil	otherprop	Objects					n04516672	utensil.n.01	39	objects
323	girl toy	1	389	40	7	toy	otherprop	Objects							40	misc
324	knickknackery	1		40	7		otherprop	Objects					n02897692	bric-a-brac.n.01	39	objects
325	back splash	1		40	7		otherprop	Objects							40	misc
326	bathtub pt	1		40	7		otherprop	Objects							40	misc
327	toilet paper dispenser	1		40	7		otherprop	Objects							40	misc
328	wall by bathtub and shower	1		40	7		otherprop	Objects							40	misc
329	tv console	1		40	7		otherprop	Objects							40	misc
330	stove hood	1		40	7		otherprop	Objects							40	misc
331	paper towel rack	1		40	7		otherprop	Objects							40	misc
332	box of napkins	1		40	7		otherprop	Objects							40	misc
333	fire truck	1		40	7		otherprop	Objects					n03345487	fire_engine.n.01	39	objects
334	dental machine light	1	62	38	7	light	otherstructure	Objects							40	misc
335	top	1		40	7		otherprop	Objects							40	misc
336	vacuum cleaner	1	306	40	7	vacuum cleaner	otherprop	Objects					n04517823	vacuum.n.04	37	appliances
337	curtains	1	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
338	countetop	1		40	7		otherprop	Objects							40	misc
339	iron board	1	408	38	7	board	otherstructure	Objects							40	misc
340	bed sheets	1	352	40	7	bed sheets	otherprop	Objects					n04188179	sheet.n.03	39	objects
341	random object	1		40	7		otherprop	Objects							40	misc
342	dog poster	1		40	7		otherprop	Objects							40	misc
343	hand dryer	1		40	7		otherprop	Objects							40	misc
344	holder	1		40	7		otherprop	Objects					n03525454	holder.n.01	39	objects
345	shampoo	1		40	7		otherprop	Objects							40	misc
346	coat	1	324	40	7	jacket	otherprop	Objects					n03057021	coat.n.01	38	clothes
347	sofa set	1	83	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	04256520	n04256520	sofa.n.01	10	sofa
348	window shelf	1	668	38	7	window shelf	otherstructure	Objects							40	misc
349	cork board	1	34	40	7	cork board	otherprop	Objects							40	misc
350	teakettle	1	243	40	7	tea kettle	otherprop	Objects					n04397768	teakettle.n.01	39	objects
351	equipment	1		40	7		otherprop	Objects					n03294048	equipment.n.01	39	objects
352	chaise	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03002711	chaise_longue.n.01	3	chair
353	toy house	1	490	40	7	toy house	otherprop	Objects							40	misc
354	wall behind bed	1	157	4	1	bed	bed	Bed	bed	bed	bed	02818832	n02818832	bed.n.01	11	bed
355	wall near window	1	59	9	13	window	window	Window							40	misc
356	urn	1	151	40	7	urn	otherprop	Objects	vase		jar	03593526	n04516116	urn.n.01	39	objects
357	curtain tod	1	582	38	7	curtain rod	otherstructure	Objects							40	misc
358	dresser chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
359	decorative fan	1	74	40	7	fan	otherprop	Objects							40	misc
360	water skateboard	1	408	38	7	board	otherstructure	Objects			skateboard	04225987	n04225987	skateboard.n.01	39	objects
361	knife block	1		40	7		otherprop	Objects							40	misc
362	teachers desk	1	36	14	10	desk	desk	Table	desk	desk					40	misc
363	clothes dryer	1		39	6		otherfurniture	Furniture					n03251766	dryer.n.01	37	appliances
364	wall/door	1		40	7		otherprop	Objects							40	misc
365	washing sink	1	24	34	7	sink	sink	Objects	sink						40	misc
366	boy toy	1	389	40	7	toy	otherprop	Objects							40	misc
367	bathroom scale	1	639	40	7	scale	otherprop	Objects					n04141975	scale.n.07	39	objects
368	picture in frame	1		40	7		otherprop	Objects							40	misc
369	bush	1		40	7		otherprop	Objects					n08505018	bush.n.02	39	objects
370	patient chair	1	5	5	4	chair	chair	Chair	chair	chair	chair	03001627	n03001627	chair.n.01	3	chair
371	empty sink area	1		40	7		otherprop	Objects							40	misc
372	watch	1	384	40	7	watch	otherprop	Objects					n04555897	watch.n.01	39	objects
373	folding tray	1	179	40	7	tray	otherprop	Objects							40	misc
374	garbage bin	1	12	39	6	garbage bin	otherfurniture	Furniture							40	misc
375	shower ledge	1		40	7		otherprop	Objects							40	misc
376	workbench	1	204	39	6	bench	otherfurniture	Furniture	bench		table	04379243	n04600486	workbench.n.01	5	table
377	laundry machine	1	220	40	7	machine	otherprop	Objects							40	misc
378	dollhouse	1	486	39	6	doll house	otherfurniture	Furniture					n03219483	dollhouse.n.01	40	misc
379	wallwawall	1		40	7		otherprop	Objects							40	misc
380	stair cont	1		40	7		otherprop	Objects							40	misc
381	toiler seat	1		40	7		otherprop	Objects							40	misc
382	dental machine	1	220	40	7	machine	otherprop	Objects							40	misc
383	burner	1		40	7		otherprop	Objects					n02923129	burner.n.01	39	objects
384	tent	1	835	39	6	tent	otherfurniture	Furniture	tent				n04411264	tent.n.01	40	misc
385	loofah	1	82	40	7	plant	otherprop	Objects	plant				n12166793	loofah.n.02	14	plant
386	screen	1	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
387	storage box	1	26	29	7	box	box	Objects							40	misc
388	wall moulding	1		40	7		otherprop	Objects							40	misc
389	console	1	3	3	6	cabinet	cabinet	Furniture	table	table	table	04379243	n03092883	console_table.n.01	5	table
390	toilet part	1		40	7		otherprop	Objects							40	misc
391	guitar	1	300	40	7	guitar	otherprop	Objects	guitar		guitar	03467517	n03467517	guitar.n.01	39	objects
392	golf club	1		40	7		otherprop	Objects					n03446070	golf_club.n.02	33	gym_equipment
393	roof wood	1		40	7		otherprop	Objects							40	misc
394	window/blinds	1		40	7		otherprop	Objects							40	misc
395	bar cart	1	305	40	7	cart	otherprop	Objects							40	misc
396	car tire	1		40	7		otherprop	Objects					n02971167	car_tire.n.01	39	objects
397	garage door	1	850	38	7	garage door	otherstructure	Objects	door						4	door
398	dishtowel	1	135	27	7	towel	towel	Objects					n03207835	dishtowel.n.01	20	towel
399	window treatment	1		40	7		otherprop	Objects							40	misc
400	center table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
401	basin	1	24	34	7	sink	sink	Objects	sink				n04223580	sink.n.01	15	sink
402	waste	1		40	7		otherprop	Objects					n08504594	barren.n.01	39	objects
403	toilet cover	1		40	7		otherprop	Objects							40	misc
404	centerpiece	1	878	40	7	centerpiece	otherprop	Objects					n02994419	centerpiece.n.02	39	objects
405	suitcase/bundle of cloth	1		40	7		otherprop	Objects							40	misc
406	item by piano	1	298	39	6	piano	otherfurniture	Furniture	piano		piano	03928116	n03928116	piano.n.01	39	objects
407	area rug	1	130	40	7	rug	floor mat	Objects					n04144539	scatter_rug.n.01	2	floor
408	be table	1	19	7	10	table	table	Table	table	table	table	04379243	n04379243	table.n.02	5	table
409	bed cover	1		40	7		otherprop	Objects					n02822220	bedspread.n.01	11	bed
410	dental counter	1	7	12	6	counter	counter	Furniture							40	misc
411	decor	1		40	7		otherprop	Objects					n03579355	interior_decoration.n.01	39	objects
412	pc case desk	1	36	14	10	desk	desk	Table	desk	desk					40	misc
413	hallway	1		40	7		otherprop	Objects					n03479952	hallway.n.01	40	misc
414	ball	1	60	40	7	ball	otherprop	Objects							40	misc
415	rail	1	497	38	7	railing	otherstructure	Objects					n04047401	railing.n.01	30	railing
416	canister	1	794	40	7	canister	otherprop	Objects							40	misc
417	statue	1	294	40	7	sculpture	otherprop	Objects					n04306847	statue.n.01	39	objects
418	drain	1	567	38	7	drain	otherstructure	Objects							40	misc
419	bed stand	1	50	39	6	stand	otherfurniture	Furniture							40	misc
420	armchair cushion	1		40	7		otherprop	Objects							40	misc
421	work space	1		40	7		otherprop	Objects							40	misc
422	dental light machine stem	1		40	7		otherprop	Objects							40	misc
423	sliding door	1	28	8	12	door	door	Wall	door				n04239074	sliding_door.n.01	4	door
424	tile floor	1	11	2	5	floor	floor	Floor							40	misc
425	wall with paintings	1		40	7		otherprop	Objects							40	misc
426	sunshade	1		40	7		otherprop	Objects							40	misc
427	hallway door	1	28	8	12	door	door	Wall	door						40	misc
428	strange cloth box thing	1		40	7		otherprop	Objects							40	misc
429	hat	1	193	40	7	hat	otherprop	Objects					n03497657	hat.n.01	38	clothes
430	shelves/storage unit	1		40	7		otherprop	Objects							40	misc
431	wastebasket	1		40	7		otherprop	Objects					n04555700	wastepaper_basket.n.01	39	objects
432	guitar case	1	771	40	7	guitar case	otherprop	Objects							40	misc
433	molding	1		38	7		otherstructure	Objects					n02800354	baseboard.n.01	1	wall
434	bathroom cabinet	1	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
435	kitchen rag	1		40	7		otherprop	Objects							40	misc
436	desk objects and lamps	1		40	7		otherprop	Objects							40	misc
437	kitchen set	1	3	3	6	cabinet	cabinet	Furniture							40	misc
438	various object	1		40	7		otherprop	Objects							40	misc
439	bucket	1	427	40	7	bucket	otherprop	Objects					n02909870	bucket.n.01	39	objects
440	bench seat	1		40	7		otherprop	Objects							40	misc
441	clothes basket	1	39	40	7	basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01	39	objects
442	some object that does not seem complete	1		40	7		otherprop	Objects							40	misc
443	serving nook	1		40	7		otherprop	Objects							40	misc
444	treadmill	1	458	39	6	treadmill	otherfurniture	Furniture					n04477387	treadmill.n.01	33	gym_equipment
445	item by dresser	1	169	17	6	dresser	dresser	Furniture	dresser	dresser					40	misc
446	trampoline	1	521	39	6	trampoline	otherfurniture	Furniture					n04469514	trampoline.n.01	33	gym_equipment
447	windows w/blinds	1		40	7		otherprop	Objects							40	misc
448	post	1		40	7		otherprop	Objects					n03988170	post.n.04	24	column
449	throw	1	872	40	7	throw	otherprop	Objects					n04429971	throw.n.04	39	objects
450	panel	1	559	40	7	sheet	otherprop	Objects					n03882058	panel.n.01	35	board_panel
451	wall decoy	1		40	7		otherprop	Objects							40	misc
452	whiteboard	1	45	30	7	whiteboard	whiteboard	Objects					n03211616	display_panel.n.01	22	tv_monitor
453	other	1		40	7		otherprop	Objects							40	misc
454	mantle	1	874	38	7	mantle	otherstructure	Objects	mantel				n03719343	mantel.n.01	27	fireplace
455	horse statue	1		40	7		otherprop	Objects							40	misc
456	wall desk	1	36	14	10	desk	desk	Table	desk	desk					40	misc
457	wall by the stair	1		40	7		otherprop	Objects							40	misc
458	brush	1		40	7		otherprop	Objects					n02908217	brush.n.02	39	objects
459	car rim	1		40	7		otherprop	Objects							40	misc
460	dining table and chairs	1		40	7		otherprop	Objects							40	misc
461	hope chest	1	344	39	6	chest	otherfurniture	Furniture					n03535024	hope_chest.n.01	39	objects
462	dresser drawer	1	174	39	6	drawer	otherfurniture	Furniture							40	misc
463	wax	1		40	7		otherprop	Objects							40	misc
464	brick	1	695	40	7	brick	otherprop	Objects					n02897820	brick.n.01	39	objects
465	mouse toy	1	389	40	7	toy	otherprop	Objects							40	misc
466	kitchen mug	1	263	40	7	vessel	otherprop	Objects			cup or mug	03797390	n03797390	mug.n.04	39	objects
467	kitchen shelf	1	42	15	6	shelves	shelves	Furniture					n04190052	shelf.n.01	31	shelving
468	toiler	1	331	31	7	person	person	Objects	person				n10700105	toiler.n.01	39	objects
469	flush	1		40	7		otherprop	Objects							40	misc
470	sink cabinet	1	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
471	tabletop	1	19	7	10	table	table	Table					n04381860	tabletop.n.01	39	objects
472	candle	1	137	40	7	candle	otherprop	Objects	lamp				n02948072	candle.n.01	39	objects
473	kitchen curtain	1	89	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	12	curtain
474	reflection of cabinet	1	3	3	6	cabinet	cabinet	Furniture			cabinet	02933112	n02933112	cabinet.n.01	7	cabinet
475	file storage	1		40	7		otherprop	Objects							40	misc
476	steel pole	1		40	7		otherprop	Objects							40	misc
477	storage	1											n03744276	memory.n.04	39	objects
478	carpeting	1	130	40	7	rug	floor mat	Objects					n04118021	rug.n.01	2	floor
479	shelf window	1	59	9	13	window	window	Window							40	misc
480	bunk bed	1	804	39	6	bunk bed	otherfurniture	Furniture	bed	bed	bed	02818832	n02920259	bunk_bed.n.01	11	bed
481	water resveroire	1		40	7		otherprop	Objects							40	misc
482	clothes hamper	1	39	40	7	basket	otherprop	Objects			basket	02801938	n03050864	clothes_hamper.n.01	39	objects
483	closet clothing	1		40	7		otherprop	Objects							40	misc
484	remote	1		40	7		otherprop	Objects			remote_control	04074963	n04074963	remote_control.n.01	39	objects
485	mantel	1	58	38	7	mantel	otherstructure	Objects	mantel				n03719343	mantel.n.01	27	fireplace
486	dental supply	1		40	7		otherprop	Objects							40	misc
487	bath towel	1	135	27	7	towel	towel	Objects					n02808304	bath_towel.n.01	20	towel
488	flowerpot	1	146	40	7	flower pot	otherprop	Objects	flower_pot		flower pot	03991062	n03991062	pot.n.04	39	objects
489	jacket	1	324	40	7	jacket	otherprop	Objects					n03589791	jacket.n.01	38	clothes
